Sample Number: 0
x[11] = 0.43766 | u[11] = 0.02768
x[12] = 0.61336 | u[12] = 0.14714
x[13] = 0.33786 | u[13] = -0.15233
x[14] = 0.61855 | u[14] = 0.15995
x[15] = 0.53162 | u[15] = 0.11253
x[16] = 0.14091 | u[16] = -0.27738
x[17] = 0.53688 | u[17] = 0.08114
x[18] = 0.30660 | u[18] = -0.14758
x[19] = 0.42349 | u[19] = 0.01526
Sample Number: 140
x[0] = 0.51993 | u[0] = 0.09081
x[1] = 0.63078 | u[1] = 0.16506
x[2] = 0.33787 | u[2] = -0.10834
x[3] = 0.49412 | u[3] = 0.03918
x[4] = 0.75021 | u[4] = 0.30029
x[5] = 0.80645 | u[5] = 0.30756
x[6] = 0.19962 | u[6] = -0.20354
x[7] = 0.26203 | u[7] = -0.16708
x[8] = 0.18474 | u[8] = -0.28041
x[9] = 0.43157 | u[9] = 0.01381
x[10] = 0.13167 | u[10] = -0.27322
x[11] = 0.43698 | u[11] = 0.02681
x[12] = 0.60971 | u[12] = 0.14401
x[13] = 0.34161 | u[13] = -0.14687
x[14] = 0.61457 | u[14] = 0.15719
x[15] = 0.52883 | u[15] = 0.11002
x[16] = 0.14777 | u[16] = -0.27028
x[17] = 0.53487 | u[17] = 0.07943
x[18] = 0.31025 | u[18] = -0.14389
x[19] = 0.42313 | u[19] = 0.01304
Sample Number: 150
x[0] = 0.51769 | u[0] = 0.08846
x[1] = 0.62670 | u[1] = 0.16064
x[2] = 0.34055 | u[2] = -0.10543
x[3] = 0.49317 | u[3] = 0.03685
x[4] = 0.74280 | u[4] = 0.29165
x[5] = 0.79880 | u[5] = 0.30260
x[6] = 0.20467 | u[6] = -0.19920
x[7] = 0.26617 | u[7] = -0.16328
x[8] = 0.19168 | u[8] = -0.27316
x[9] = 0.43125 | u[9] = 0.01206
x[10] = 0.13844 | u[10] = -0.26750
x[11] = 0.43632 | u[11] = 0.02597
x[12] = 0.60614 | u[12] = 0.14094
x[13] = 0.34522 | u[13] = -0.14159
x[14] = 0.61067 | u[14] = 0.15447
x[15] = 0.52611 | u[15] = 0.10757
x[16] = 0.15446 | u[16] = -0.26336
x[17] = 0.53290 | u[17] = 0.07776
x[18] = 0.31381 | u[18] = -0.14030
x[19] = 0.42284 | u[19] = 0.01092
Sample Number: 160
x[0] = 0.51550 | u[0] = 0.08617
x[1] = 0.62273 | u[1] = 0.15633
x[2] = 0.34315 | u[2] = -0.10260
x[3] = 0.49228 | u[3] = 0.03461
x[4] = 0.73559 | u[4] = 0.28324
x[5] = 0.79127 | u[5] = 0.29771
x[6] = 0.20961 | u[6] = -0.19495
x[7] = 0.27022 | u[7] = -0.15956
x[8] = 0.19843 | u[8] = -0.26608
x[9] = 0.43097 | u[9] = 0.01038
x[10] = 0.14508 | u[10] = -0.26191
x[11] = 0.43568 | u[11] = 0.02516
x[12] = 0.60264 | u[12] = 0.13792
x[13] = 0.34870 | u[13] = -0.13648
x[14] = 0.60683 | u[14] = 0.15179
x[15] = 0.52344 | u[15] = 0.10518
x[16] = 0.16097 | u[16] = -0.25661
x[17] = 0.53097 | u[17] = 0.07614
x[18] = 0.31728 | u[18] = -0.13680
x[19] = 0.42259 | u[19] = 0.00889
Sample Number: 170
x[0] = 0.51337 | u[0] = 0.08393
x[1] = 0.61887 | u[1] = 0.15214
x[2] = 0.34569 | u[2] = -0.09985
x[3] = 0.49144 | u[3] = 0.03246
x[4] = 0.72860 | u[4] = 0.27507
x[5] = 0.78387 | u[5] = 0.29287
x[6] = 0.21444 | u[6] = -0.19079
x[7] = 0.27417 | u[7] = -0.15594
x[8] = 0.20501 | u[8] = -0.25918
x[9] = 0.43073 | u[9] = 0.00878
x[10] = 0.15157 | u[10] = -0.25643
x[11] = 0.43505 | u[11] = 0.02437
x[12] = 0.59923 | u[12] = 0.13497
x[13] = 0.35206 | u[13] = -0.13154
x[14] = 0.60306 | u[14] = 0.14914
x[15] = 0.52083 | u[15] = 0.10285
x[16] = 0.16732 | u[16] = -0.25003
x[17] = 0.52908 | u[17] = 0.07455
x[18] = 0.32067 | u[18] = -0.13339
x[19] = 0.42240 | u[19] = 0.00695
Sample Number: 180
x[0] = 0.51129 | u[0] = 0.08175
x[1] = 0.61510 | u[1] = 0.14804
x[2] = 0.34816 | u[2] = -0.09716
x[3] = 0.49065 | u[3] = 0.03039
x[4] = 0.72181 | u[4] = 0.26713
x[5] = 0.77659 | u[5] = 0.28809
x[6] = 0.21917 | u[6] = -0.18671
x[7] = 0.27804 | u[7] = -0.15239
x[8] = 0.21143 | u[8] = -0.25246
x[9] = 0.43053 | u[9] = 0.00724
x[10] = 0.15793 | u[10] = -0.25107
x[11] = 0.43445 | u[11] = 0.02360
x[12] = 0.59588 | u[12] = 0.13207
x[13] = 0.35530 | u[13] = -0.12676
x[14] = 0.59935 | u[14] = 0.14653
x[15] = 0.51828 | u[15] = 0.10058
x[16] = 0.17350 | u[16] = -0.24361
x[17] = 0.52723 | u[17] = 0.07300
x[18] = 0.32397 | u[18] = -0.13007
x[19] = 0.42225 | u[19] = 0.00509
Sample Number: 190
x[0] = 0.50927 | u[0] = 0.07963
x[1] = 0.61145 | u[1] = 0.14405
x[2] = 0.35056 | u[2] = -0.09454
x[3] = 0.48992 | u[3] = 0.02840
x[4] = 0.71521 | u[4] = 0.25940
x[5] = 0.76942 | u[5] = 0.28337
x[6] = 0.22380 | u[6] = -0.18271
x[7] = 0.28181 | u[7] = -0.14894
x[8] = 0.21767 | u[8] = -0.24590
x[9] = 0.43037 | u[9] = 0.00577
x[10] = 0.16416 | u[10] = -0.24583
x[11] = 0.43387 | u[11] = 0.02286
x[12] = 0.59260 | u[12] = 0.12922
x[13] = 0.35841 | u[13] = -0.12214
x[14] = 0.59571 | u[14] = 0.14395
x[15] = 0.51579 | u[15] = 0.09835
x[16] = 0.17953 | u[16] = -0.23735
x[17] = 0.52542 | u[17] = 0.07149
x[18] = 0.32719 | u[18] = -0.12683
x[19] = 0.42214 | u[19] = 0.00332
Sample Number: 200
x[0] = 0.50730 | u[0] = 0.07755
x[1] = 0.60788 | u[1] = 0.14016
x[2] = 0.35290 | u[2] = -0.09199
x[3] = 0.48923 | u[3] = 0.02648
x[4] = 0.70881 | u[4] = 0.25189
x[5] = 0.76238 | u[5] = 0.27871
x[6] = 0.22833 | u[6] = -0.17880
x[7] = 0.28550 | u[7] = -0.14556
x[8] = 0.22375 | u[8] = -0.23950
x[9] = 0.43024 | u[9] = 0.00437
x[10] = 0.17026 | u[10] = -0.24069
x[11] = 0.43331 | u[11] = 0.02214
x[12] = 0.58940 | u[12] = 0.12643
x[13] = 0.36141 | u[13] = -0.11767
x[14] = 0.59213 | u[14] = 0.14142
x[15] = 0.51335 | u[15] = 0.09618
x[16] = 0.18540 | u[16] = -0.23124
x[17] = 0.52365 | u[17] = 0.07002
x[18] = 0.33033 | u[18] = -0.12368
x[19] = 0.42208 | u[19] = 0.00163
Sample Number: 210
x[0] = 0.50538 | u[0] = 0.07553
x[1] = 0.60442 | u[1] = 0.13637
x[2] = 0.35517 | u[2] = -0.08951
x[3] = 0.48859 | u[3] = 0.02464
x[4] = 0.70259 | u[4] = 0.24459
x[5] = 0.75545 | u[5] = 0.27411
x[6] = 0.23277 | u[6] = -0.17497
x[7] = 0.28911 | u[7] = -0.14226
x[8] = 0.22967 | u[8] = -0.23326
x[9] = 0.43015 | u[9] = 0.00302
x[10] = 0.17623 | u[10] = -0.23567
x[11] = 0.43276 | u[11] = 0.02144
x[12] = 0.58627 | u[12] = 0.12370
x[13] = 0.36431 | u[13] = -0.11335
x[14] = 0.58862 | u[14] = 0.13891
x[15] = 0.51097 | u[15] = 0.09406
x[16] = 0.19112 | u[16] = -0.22528
x[17] = 0.52191 | u[17] = 0.06858
x[18] = 0.33339 | u[18] = -0.12060
x[19] = 0.42207 | u[19] = 0.00002
Sample Number: 220
x[0] = 0.50352 | u[0] = 0.07356
x[1] = 0.60105 | u[1] = 0.13268
x[2] = 0.35738 | u[2] = -0.08709
x[3] = 0.48800 | u[3] = 0.02287
x[4] = 0.69655 | u[4] = 0.23749
x[5] = 0.74863 | u[5] = 0.26957
x[6] = 0.23711 | u[6] = -0.17121
x[7] = 0.29264 | u[7] = -0.13904
x[8] = 0.23544 | u[8] = -0.22718
x[9] = 0.43009 | u[9] = 0.00174
x[10] = 0.18207 | u[10] = -0.23075
x[11] = 0.43223 | u[11] = 0.02077
x[12] = 0.58320 | u[12] = 0.12101
x[13] = 0.36709 | u[13] = -0.10918
x[14] = 0.58517 | u[14] = 0.13645
x[15] = 0.50864 | u[15] = 0.09199
x[16] = 0.19669 | u[16] = -0.21948
x[17] = 0.52021 | u[17] = 0.06718
x[18] = 0.33637 | u[18] = -0.11761
x[19] = 0.42209 | u[19] = -0.00152
Sample Number: 230
x[0] = 0.50170 | u[0] = 0.07163
x[1] = 0.59777 | u[1] = 0.12907
x[2] = 0.35954 | u[2] = -0.08474
x[3] = 0.48745 | u[3] = 0.02117
x[4] = 0.69068 | u[4] = 0.23059
